production_log_id,pds,machine_id,product_id,leader_id,manager_id,operator_id,supervisor_id,start_time,end_time,product_weight,material_weight,cut_pallet_count,waste_endroll_weight,waste_trim_weight,waste_production_weight,waste_core_weight,returned_material_weight,log_note
1407,25030575,3,262,1,1,1,1,3/21/2025 9:24,3/21/2025 12:15,18,32,250,3,0,5,3,0,
1473,25030672,3,191,1,1,1,1,3/21/2025 21:43,3/21/2025 23:47,18,246,260,4,2,10,0,224,
1421,25030225,3,269,1,1,1,1,3/21/2025 13:18,3/21/2025 14:42,19,165,200,3,1,5,0,136,
1768,25030907,3,191,1,1,1,1,3/28/2025 21:27,3/29/2025 0:03,19,581,260,3,1,7,0,562,
1612,25030565,5,304,1,1,1,1,3/25/2025 22:04,3/25/2025 23:04,19,477,163,6,1,7,0,443,
1099,25030094,6,193,1,1,1,1,3/15/2025 12:01,3/15/2025 13:57,19,203,80,10,1,5,0,184,
65,25020163,3,16,1,1,1,1,2/13/2025 21:14,2/14/2025 0:06,20,813,220,4,1,5,0,794,
786,25030015,3,140,1,1,1,1,3/6/2025 16:07,3/6/2025 18:56,20,464,200,4,1,20,0,455,
1066,25030227,3,184,1,1,1,1,3/14/2025 17:50,3/14/2025 20:02,20,94,950,0,0,3,3,648,
1730,25030280,3,269,1,1,1,1,3/27/2025 20:54,3/27/2025 23:16,20,621,200,6,1,12,0,593,
230,25020171,3,54,1,1,1,1,2/18/2025 20:03,2/18/2025 22:22,21,925,80,6,0,15,0,902,
881,25030174,3,161,1,1,1,1,3/10/2025 12:09,3/10/2025 15:03,21,251,490,3,0,5,0,229,
1199,25030340,3,213,1,1,1,1,3/18/2025 6:05,3/18/2025 7:05,21,413,260,2,1,3,0,389,
1406,25030575,3,262,1,1,1,1,3/21/2025 9:24,3/21/2025 12:10,21,369,250,3,0,5,3,337,
1614,25030026,5,201,1,1,1,1,3/25/2025 22:06,3/25/2025 23:06,21,491,80,7,1,8,0,441,
1102,25030093,6,194,1,1,1,1,3/15/2025 12:07,3/15/2025 13:11,21,331,80,0,0,0,0,310,
205,25020225,3,7,1,1,1,1,2/18/2025 13:16,2/18/2025 15:10,22,149,300,0,0,1,0,120,
1087,25030319,3,191,1,1,1,1,3/15/2025 7:17,3/15/2025 8:40,22,288,260,4,2,8,0,"1,072",
1472,25030672,3,191,1,1,1,1,3/21/2025 21:43,3/22/2025 0:37,22,932,260,4,2,10,0,905,
1809,25030892,3,341,1,1,1,1,3/29/2025 16:45,3/29/2025 17:47,22,22,1700,2,1,6,6,0,
1101,25030093,6,194,1,1,1,1,3/15/2025 12:07,3/15/2025 13:21,22,184,80,0,0,0,0,162,
64,25020162,3,15,1,1,1,1,2/13/2025 21:10,2/13/2025 22:50,23,313,320,4,1,4,0,286,
1198,25030340,3,213,1,1,1,1,3/18/2025 6:05,3/18/2025 8:24,23,394,260,2,1,3,0,369,
1653,25030791,3,310,1,1,1,1,3/26/2025 14:36,3/26/2025 17:23,23,643,900,0,0,0,6,620,
203,25020225,3,6,1,1,1,1,2/18/2025 13:13,2/18/2025 14:23,24,178,300,3,1,3,0,149,
204,25020225,3,7,1,1,1,1,2/18/2025 13:16,2/18/2025 14:22,24,874,300,0,0,1,0,854,
880,25030174,3,161,1,1,1,1,3/10/2025 12:09,3/10/2025 14:15,24,677,490,3,0,5,0,653,
1619,25030560,3,306,1,1,1,1,3/26/2025 7:03,3/26/2025 8:49,24,89,550,0,0,0,0,61,
1729,25030280,3,269,1,1,1,1,3/27/2025 20:54,3/27/2025 22:02,24,528,200,6,1,12,0,495,
27,25020078,3,9,1,1,1,1,2/12/2025 17:42,2/12/2025 20:24,25,267,530,2,1,3,0,211,
785,25030015,3,140,1,1,1,1,3/6/2025 16:07,3/6/2025 17:59,25,244,200,4,1,20,0,233,
25,25020078,3,8,1,1,1,1,2/12/2025 17:38,2/12/2025 20:32,26,267,530,3,2,5,0,211,
26,25020078,3,9,1,1,1,1,2/12/2025 17:42,2/12/2025 20:24,26,320,530,2,1,3,0,260,
1618,25030560,3,306,1,1,1,1,3/26/2025 7:03,3/26/2025 9:20,26,421,550,0,0,0,0,391,
1716,25030770,3,328,1,1,1,1,3/27/2025 16:39,3/27/2025 18:47,26,662,910,2,2,8,3,615,
63,25020162,3,15,1,1,1,1,2/13/2025 21:10,2/13/2025 23:52,27,843,320,4,1,4,0,813,
202,25020225,3,6,1,1,1,1,2/18/2025 13:13,2/18/2025 16:04,27,874,300,3,1,3,0,834,
1887,25030490,2,179,1,1,1,1,4/1/2025 4:47,4/1/2025 7:21,28,1559,11600,0,0,0,4,1471,
210,25020225,3,7,1,1,1,1,2/18/2025 13:34,2/18/2025 14:45,28,206,300,0,1,0,0,120,
600,25020751,3,103,1,1,1,1,3/3/2025 16:28,3/3/2025 17:29,28,447,490,0,0,0,0,419,
88,25020213,5,19,1,1,1,1,2/14/2025 16:24,2/14/2025 17:55,28,982,150,6,2,40,0,0,
24,25020078,3,8,1,1,1,1,2/12/2025 17:38,2/12/2025 19:29,29,320,530,3,2,5,0,260,
207,25020240,3,47,1,1,1,1,2/18/2025 13:24,2/18/2025 16:10,29,630,550,3,1,3,0,590,
591,25020697,3,100,1,1,1,1,3/3/2025 13:37,3/3/2025 16:12,29,544,"6,100",3,2,6,0,508,
1060,25030226,3,183,1,1,1,1,3/14/2025 17:20,3/14/2025 19:40,29,27,950,0,0,2,6,0,
1175,25030248,3,210,1,1,1,1,3/17/2025 17:35,3/17/2025 19:21,29,71,450,4,1,13,0,43,
682,25020679,3,123,1,1,1,1,3/5/2025 10:30,3/5/2025 12:44,30,493,4070,3,1,9,3,454,
201,25020293,3,46,1,1,1,1,2/18/2025 13:09,2/18/2025 16:01,31,206,510,4,1,6,0,175,
599,25020751,3,103,1,1,1,1,3/3/2025 16:28,3/3/2025 19:11,31,793,490,0,0,0,0,762,
347,25020263,3,55,1,1,1,1,2/22/2025 7:36,2/22/2025 9:10,32,1224,"2,080",4,0,8,0,1170,
1174,25030248,3,210,1,1,1,1,3/17/2025 17:35,3/17/2025 20:00,33,713,450,4,1,13,0,677,
1177,25030247,3,47,1,1,1,1,3/17/2025 17:52,3/17/2025 20:19,33,1053,500,4,0,8,0,1006,
1026,25030210,5,110,1,1,1,1,3/13/2025 19:26,3/13/2025 20:52,33,188,15750,11,3,21,11,165,
200,25020293,3,46,1,1,1,1,2/18/2025 13:09,2/18/2025 16:04,34,117,510,4,1,6,0,74,
1292,25030274,3,12,1,1,1,1,3/19/2025 17:48,3/19/2025 19:10,34,705,2650,3,1,9,3,658,
89,25020213,5,19,1,1,1,1,2/14/2025 16:24,2/14/2025 17:52,34,407,150,6,2,40,0,0,
1802,25030773,5,337,1,1,1,1,3/29/2025 13:51,3/29/2025 16:28,34,252,520,0,0,0,0,212,
879,25030099,3,160,1,1,1,1,3/10/2025 12:04,3/10/2025 13:34,36,243,530,3,0,5,0,204,
1650,25030791,3,310,1,1,1,1,3/26/2025 14:36,3/26/2025 17:28,36,36,900,0,0,0,6,0,
1767,25030853,3,262,1,1,1,1,3/28/2025 21:24,3/28/2025 23:52,36,201,570,3,1,7,0,166,
686,25030016,5,125,1,1,1,1,3/5/2025 10:54,3/5/2025 12:18,36,812,530,2,1,2,0,771,
1176,25030247,3,47,1,1,1,1,3/17/2025 17:52,3/17/2025 19:23,37,175,500,4,0,8,0,130,
1381,25030525,3,257,1,1,1,1,3/20/2025 21:26,3/21/2025 0:11,37,23,1050,3,0,10,10,0,
878,25030099,3,160,1,1,1,1,3/10/2025 12:04,3/10/2025 14:05,38,788,530,3,0,5,0,747,
1596,25030661,5,298,1,1,1,1,3/25/2025 21:34,3/26/2025 0:06,38,421,550,4,1,6,0,341,
1586,25030300,2,295,1,1,1,1,3/25/2025 15:21,3/25/2025 16:54,39,392,5800,3,2,5,3,343,
1766,25030853,3,262,1,1,1,1,3/28/2025 21:24,3/28/2025 23:48,39,337,570,3,1,7,0,300,
684,25030016,5,124,1,1,1,1,3/5/2025 10:44,3/5/2025 11:59,39,853,530,6,2,4,0,812,
402,25020453,2,83,1,1,1,1,2/24/2025 16:32,2/24/2025 18:09,40,1765,"15,150",4,2,15,0,1725,
496,25020407,2,1,1,1,1,1,2/27/2025 21:44,2/27/2025 23:08,40,1488,"21,000",6,4,17,24,1448,
222,25020321,3,50,1,1,1,1,2/18/2025 16:27,2/18/2025 18:04,40,916,750,3,1,6,0,870,
654,25020774,3,115,1,1,1,1,3/4/2025 17:12,3/4/2025 19:13,40,1126,1000,0,0,0,0,1082,
688,25030013,3,126,1,1,1,1,3/5/2025 11:46,3/5/2025 14:08,40,1011,610,4,1,8,0,971,
1801,25030773,5,337,1,1,1,1,3/29/2025 13:51,3/29/2025 15:27,40,111,520,0,0,0,0,71,
1132,25030338,2,13,1,1,1,1,3/17/2025 8:34,3/17/2025 11:29,41,1347,11100,7,1,11,9,1297,
223,25020321,3,50,1,1,1,1,2/18/2025 16:27,2/18/2025 18:53,41,767,750,3,1,6,0,719,
1204,25030346,5,195,1,1,1,1,3/18/2025 6:31,3/18/2025 9:07,41,701,2000,2,1,3,0,645,
893,25020831,5,94,1,1,1,1,3/10/2025 13:48,3/10/2025 15:26,42,39,400,0,0,0,0,0,
642,25020809,3,112,1,1,1,1,3/4/2025 15:21,3/4/2025 18:10,43,944,1750,3,1,10,4,904,
653,25020774,3,115,1,1,1,1,3/4/2025 17:12,3/4/2025 19:50,43,210,1000,0,0,0,0,168,
685,25030016,5,125,1,1,1,1,3/5/2025 10:54,3/5/2025 12:46,43,142,530,2,1,2,0,104,
827,25030072,3,145,1,1,1,1,3/8/2025 13:39,3/8/2025 15:51,44,1115,2170,4,4,20,4,1065,
1631,25030772,3,308,1,1,1,1,3/26/2025 12:51,3/26/2025 15:25,44,529,800,3,1,6,0,482,
206,25020240,3,47,1,1,1,1,2/18/2025 13:24,2/18/2025 14:53,45,874,550,3,1,3,0,834,
373,25020531,3,75,1,1,1,1,2/24/2025 8:04,2/24/2025 9:57,45,315,780,4,0,7,0,253,
1168,25030339,3,208,1,1,1,1,3/17/2025 15:31,3/17/2025 18:06,45,125,1030,0,0,0,3,71,
1832,25030889,3,344,1,1,1,1,3/29/2025 20:02,3/29/2025 22:03,45,1172,617,0,0,21,0,1097,
257,25020239,5,61,1,1,1,1,2/19/2025 13:34,2/19/2025 15:41,45,554,500,5,1,3,0,507,
1595,25030661,5,298,1,1,1,1,3/25/2025 21:34,3/26/2025 0:09,45,360,550,4,1,6,0,270,
21,25020077,3,6,1,1,1,1,2/12/2025 17:32,2/12/2025 19:11,46,286,600,3,1,5,0,206,
1170,25030268,3,209,1,1,1,1,3/17/2025 16:23,3/17/2025 19:18,46,1008,3070,4,1,12,3,947,
1564,25030763,3,291,1,1,1,1,3/25/2025 11:46,3/25/2025 13:35,46,104,770,0,0,0,2,49,
1695,25030775,3,320,1,1,1,1,3/27/2025 9:03,3/27/2025 10:41,46,46,910,2,0,3,3,0,
256,25020239,5,61,1,1,1,1,2/19/2025 13:34,2/19/2025 15:02,46,524,500,5,1,3,0,474,
1445,25030605,5,274,1,1,1,1,3/21/2025 17:26,3/21/2025 19:47,46,1293,450,5,2,7,0,"1,252",
1303,25020830,2,179,1,1,1,1,3/19/2025 19:20,3/19/2025 22:10,47,1548,31700,10,2,25,30,"1,420",
877,25030173,3,159,1,1,1,1,3/10/2025 9:41,3/10/2025 11:01,47,406,920,3,4,6,3,366,
1630,25030772,3,308,1,1,1,1,3/26/2025 12:51,3/26/2025 15:07,47,613,800,3,1,6,0,562,
683,25030016,5,124,1,1,1,1,3/5/2025 10:44,3/5/2025 13:39,47,199,530,6,2,4,0,142,
