product_id,length,width,unit
120,1240,858,mm
121,61600,821,mm
122,95000,806,mm
123,1810,621,mm
124,1810,621,mm
125,1810,621,mm
126,10000,596,mm
127,990,596,mm
128,1000,770,mm
129,50000,618,mm
130,930,557,mm
131,930,557,mm
132,10000,512,mm
133,45,853,mm
134,5000,465,mm
135,45,465,mm
136,8000,406,mm
137,1000,580,mm
138,1000,580,mm
139,1800,567,mm
140,1880,653,mm
141,960,604,mm
142,4020,526,mm
143,4020,526,mm
144,2370,620,mm
145,2240,606,mm
146,2400,572,mm
147,2400,572,mm
148,45,732,mm
149,45,732,mm
150,30135,589,mm
151,45,772,mm
152,26021,667,mm
153,12000,821,mm
154,10000,804,mm
155,31000,828,mm
156,83210,728,mm
157,200,681,mm
158,45,517,mm
159,2000,517,mm
160,30000,821,mm
161,41520,706,mm
162,3510,688,mm
163,3510,688,mm
164,20,688,mm
165,2075,576,mm
166,2075,642,mm
167,480,561,mm
168,30100,567,mm
169,2000,670,mm
170,2000,670,mm
171,2000,670,mm
172,2000,670,mm
173,4890,567,mm
174,4700,604,mm
175,2260,615,mm
176,2260,615,mm
177,2260,615,mm
178,2260,615,mm
179,30,424,mm
180,1640,454,mm
181,968,470,mm
182,780,441,mm
183,10000,375,mm
184,5000,821,mm
185,88255,601,mm
186,45,759,mm
187,45,759,mm
188,40,653,mm
189,200,681,mm
190,1710,756,mm
191,1710,756,mm
192,1710,756,mm
193,1710,756,mm
194,2000,670,mm
195,2000,670,mm
196,2000,670,mm
197,2000,670,mm
198,2000,670,mm
199,2000,670,mm
200,2000,670,mm
201,65795,671,mm
202,50000,512,mm
203,112000,759,mm
204,61600,759,mm
205,35000,821,mm
206,45,938,mm
207,120,938,mm
208,90000,759,mm
209,1710,756,mm
210,1710,756,mm
211,1710,756,mm
212,1710,756,mm
213,1710,756,mm
214,1710,756,mm
215,2760,593,mm
216,2760,593,mm
217,2370,620,mm
218,3170,620,mm
219,500,0,mm
220,411,0,mm
221,50000,470,mm
222,45,971,mm
223,45,971,mm
224,45,936,mm
225,10000,936,mm
226,2740,645,mm
227,2740,645,mm
228,2740,645,mm
229,2740,645,mm
230,47800,759,mm
231,1750,837,mm
232,1470,837,mm
233,1750,837,mm
234,1750,837,mm
235,7,837,mm
236,7,817,mm
237,13,817,mm
238,5000,459,mm
239,5000,459,mm
240,5000,853,mm
241,110,589,mm
242,2000,374,mm
243,2000,374,mm
244,3000,528,mm
245,894,429,mm
246,369,375,mm
247,813,495,mm
248,1815,475,mm
249,5000,690,mm
250,45,681,mm
251,42000,681,mm
252,880,730,mm
253,3410,572,mm
254,1000,669,mm
255,1000,669,mm
256,1000,522,mm
257,2695,404,mm
258,1000,402,mm
259,1000,459,mm
260,1000,690,mm
261,3000,820,mm
262,1000,509,mm
263,3000,509,mm
264,1900,509,mm
265,1400,509,mm
266,700,509,mm
267,1000,709,mm
268,20000,1016,mm
269,14000,890,mm
270,973,996,mm
271,1000,508,mm
272,10000,948,mm
273,5000,577,mm
274,5000,577,mm
275,2740,645,mm
276,2740,645,mm
277,2740,645,mm
278,2260,615,mm
279,2260,615,mm
280,15000,568,mm
281,1750,817,mm
282,1470,817,mm
283,1750,817,mm
284,1750,817,mm
285,32000,846,mm
286,1710,756,mm
287,900,971,mm
288,1450,971,mm
289,1710,756,mm
290,1450,971,mm
291,900,971,mm
292,1450,971,mm
293,1710,756,mm
294,1450,971,mm
295,900,971,mm
296,1450,971,mm
297,1450,971,mm
298,1720,756,mm
299,1720,648,mm
300,1000,648,mm
301,1720,648,mm
302,1720,648,mm
303,5000,392,mm
304,1000,568,mm
305,920,726,mm
306,1670,726,mm
307,1670,726,mm
308,1670,726,mm
309,1670,726,mm
310,1720,756,mm
311,1710,756,mm
312,45,676,mm
313,1870,662,mm
314,1870,662,mm
315,1870,662,mm
316,1870,662,mm
317,360,599,mm
318,1440,599,mm
319,504,599,mm
320,1152,599,mm
321,360,819,mm
322,1440,819,mm
323,504,819,mm
324,1152,819,mm
325,4710,567,mm
326,4870,567,mm
327,572,607,mm
328,5764,717,mm
329,500,721,mm
330,13000,804,mm
331,795,706,mm
332,572,607,mm
333,900,817,mm
334,800,804,mm
335,57400,759,mm
336,4000,572,mm
337,4000,572,mm
338,2420,655,mm
339,10000,821,mm
340,2420,637,mm
341,3040,625,mm
342,3040,625,mm
343,3040,715,mm
344,40000,821,mm
345,2760,593,mm
346,2760,593,mm
347,7500,517,mm
348,2760,593,mm
349,2760,593,mm
350,20000,821,mm
351,1000,521,mm
352,1000,521,mm
353,2000,542,mm
354,1000,959,mm
355,10000,805,mm
356,5000,495,mm
357,950,622,mm
358,13,837,mm
359,350,427,mm
360,910,427,mm
361,45,791,mm
362,30000,791,mm
363,5,567,mm
364,3000,698,mm
365,3000,597,mm
366,3000,597,mm
367,1670,726,mm
368,1670,726,mm
369,1670,726,mm
370,24550,522,mm
371,3900,634,mm
372,3900,634,mm
373,1240,858,mm
374,1240,858,mm
375,9902,485,mm
376,92400,759,mm
377,9902,485,mm
378,1740,756,mm
379,1710,756,mm
380,1710,756,mm
381,1710,756,mm
382,1710,756,mm
383,1710,756,mm
384,1740,756,mm
385,1710,756,mm
386,1710,756,mm
387,1710,756,mm
388,730,718,mm
389,1600,718,mm
390,1600,718,mm
391,45,922,mm
392,3510,688,mm
393,3510,688,mm
394,2000,726,mm
395,1600,718,mm
396,55000,832,mm
397,1000,541,mm
398,1000,541,mm
399,1600,718,mm
400,1600,718,mm
401,1600,718,mm
402,1600,718,mm
403,1600,718,mm
404,3000,452,mm
405,1820,592,mm
406,1820,640,mm
407,1820,640,mm
408,30000,821,mm
409,45,791,mm
410,1000,734,mm
411,45,601,mm
412,1000,452,mm
413,13000,722,mm
414,61600,759,mm
