order_id,pds,customer_id,order_date,delivery_date,quantity,order_note,order_status
48,25020829,2,3/18/2025,,100,,in_progress
49,25030377,2,3/18/2025,,100,,in_progress
50,25020830,2,3/19/2025,,100,,in_progress
51,25030372,2,3/20/2025,,100,,in_progress
52,25030439,2,3/20/2025,,100,,in_progress
53,25030386,2,3/20/2025,,100,,in_progress
54,25030387,2,3/20/2025,,100,,in_progress
55,25030444,2,3/21/2025,,100,,in_progress
56,25030391,2,3/21/2025,,100,,in_progress
57,25030494,2,3/21/2025,,100,,in_progress
58,25030388,2,3/21/2025,,100,,in_progress
59,25030389,2,3/22/2025,,100,,in_progress
60,25030223,2,3/23/2025,,100,,in_progress
61,25030498,2,3/23/2025,,100,,in_progress
62,25030609,2,3/24/2025,,100,,in_progress
63,25030459,2,3/25/2025,,100,,in_progress
64,25030634,2,3/25/2025,,100,,in_progress
65,25030390,2,3/26/2025,,100,,in_progress
66,25030486,2,3/26/2025,,100,,in_progress
67,25030684,2,3/26/2025,,100,,in_progress
68,25030495,2,3/27/2025,,100,,in_progress
69,25030776,2,3/27/2025,,100,,in_progress
70,25030808,2,3/27/2025,,100,,in_progress
71,25030280,2,3/27/2025,,100,,in_progress
72,25030269,2,3/27/2025,,100,,in_progress
73,25030487,2,3/28/2025,,100,,in_progress
74,25030488,2,3/28/2025,,100,,in_progress
75,25030379,2,3/29/2025,,100,,in_progress
76,25030499,2,3/29/2025,,100,,in_progress
77,25030489,2,3/29/2025,,100,,in_progress
78,25030726,2,3/30/2025,,100,,in_progress
79,25030787,2,4/1/2025,,100,,in_progress
80,25030490,2,4/1/2025,,100,,in_progress
81,25030827,2,4/1/2025,,100,,in_progress
82,25030778,2,4/2/2025,,100,,in_progress
83,25030492,2,4/3/2025,,100,,in_progress
84,25030493,2,4/3/2025,,100,,in_progress
85,25030786,2,4/3/2025,,100,,in_progress
86,25030965,2,4/4/2025,,100,,in_progress
87,25040025,2,4/4/2025,,100,,in_progress
88,25031008,2,4/4/2025,,100,,in_progress
89,25030780,2,4/5/2025,,100,,in_progress
90,25030959,2,4/5/2025,,100,,in_progress
91,25031015,2,4/5/2025,,100,,in_progress
92,25030913,2,4/5/2025,,100,,in_progress
93,25030910,2,4/6/2025,,100,,in_progress
94,25030915,2,4/6/2025,,100,,in_progress
95,25030966,2,4/6/2025,,100,,in_progress
96,25030909,2,4/8/2025,,100,,in_progress
97,25031007,2,4/8/2025,,100,,in_progress
98,25030876,2,4/9/2025,,100,,in_progress
99,25030999,2,4/10/2025,,100,,in_progress
100,25030956,2,4/10/2025,,100,,in_progress
101,25040078,2,4/10/2025,,100,,in_progress
102,25040128,2,4/10/2025,,100,,in_progress
103,25040116,2,4/10/2025,,100,,in_progress
104,25030967,2,4/11/2025,,100,,in_progress
105,25030957,2,4/12/2025,,100,,in_progress
106,25031000,2,4/12/2025,,100,,in_progress
107,25040117,2,4/12/2025,,100,,in_progress
108,25040081,2,4/12/2025,,100,,in_progress
109,25040248,2,4/13/2025,,100,,in_progress
110,25040258,2,4/13/2025,,100,,in_progress
111,25040127,2,4/14/2025,,100,,in_progress
112,25040107,2,4/14/2025,,100,,in_progress
113,25040096,2,4/14/2025,,100,,in_progress
114,25040108,2,4/15/2025,,100,,in_progress
115,25040109,2,4/16/2025,,100,,in_progress
116,25040110,2,4/16/2025,,100,,in_progress
117,25040111,2,4/16/2025,,100,,in_progress
118,25040097,2,4/16/2025,,100,,in_progress
119,25040118,2,4/17/2025,,100,,in_progress
120,25040294,2,4/18/2025,,100,,in_progress
121,25040120,2,4/18/2025,,100,,in_progress
122,25040346,2,4/19/2025,,100,,in_progress
123,25040295,2,4/19/2025,,100,,in_progress
124,25040282,2,4/19/2025,,100,,in_progress
125,25040281,2,4/19/2025,,100,,in_progress
126,25040284,2,4/20/2025,,100,,in_progress
127,25040297,2,4/20/2025,,100,,in_progress
128,25040296,2,4/21/2025,,100,,in_progress
129,25040347,2,4/23/2025,,100,,in_progress
130,25040582,2,4/23/2025,,100,,in_progress
131,25040121,2,4/23/2025,,100,,in_progress
132,25040623,2,4/24/2025,,100,,in_progress
133,25040349,2,4/24/2025,,100,,in_progress
134,25040285,2,4/25/2025,,100,,in_progress
135,25040413,2,4/25/2025,,100,,in_progress
136,25040287,2,4/25/2025,,100,,in_progress
137,25040289,2,4/26/2025,,100,,in_progress
138,25040288,2,4/26/2025,,100,,in_progress
139,25040686,2,4/27/2025,,100,,in_progress
140,25040291,2,4/27/2025,,100,,in_progress
141,25040292,2,4/28/2025,,100,,in_progress
142,25040570,2,4/28/2025,,100,,in_progress
143,25040788,2,4/29/2025,,100,,in_progress
144,25040572,2,4/29/2025,,100,,in_progress
145,25040826,2,4/29/2025,,100,,in_progress
146,25040549,2,4/29/2025,,100,,in_progress
147,25040803,2,4/29/2025,,100,,in_progress
148,25040571,2,4/29/2025,,100,,in_progress
149,25040685,2,5/2/2025,,100,,in_progress
150,25040838,2,5/2/2025,,100,,in_progress
151,25040619,2,5/3/2025,,100,,in_progress
152,25040660,2,5/3/2025,,100,,in_progress
153,25040843,2,5/3/2025,,100,,in_progress
154,25040841,2,5/3/2025,,100,,in_progress
155,25040573,2,5/3/2025,,100,,in_progress
156,25040641,2,5/4/2025,,100,,in_progress
157,25040697,2,5/4/2025,,100,,in_progress
158,25040574,2,5/4/2025,,100,,in_progress
159,25040575,2,5/5/2025,,100,,in_progress
160,25040576,2,5/5/2025,,100,,in_progress
161,25040408,2,5/6/2025,,100,,in_progress
162,25040577,2,5/6/2025,,100,,in_progress
