breakdown_log_id,machine_id,supervisor_id,breakdown_code,pds,breakdown_time,recovery_time,breakdown_note
96,3,1,1,25030808,3/27/2025 18:00,3/27/2025 18:23,
97,3,1,1,25030280,3/27/2025 18:00,3/27/2025 18:23,
98,3,1,1,25030269,3/27/2025 19:50,3/27/2025 20:13,
99,2,1,1,25030776,3/27/2025 22:00,3/27/2025 22:23,
100,2,1,1,25030487,3/28/2025 2:00,3/28/2025 2:23,
101,2,1,1,25030488,3/28/2025 15:00,3/28/2025 15:23,
102,2,1,1,25030379,3/29/2025 22:00,3/29/2025 22:23,
103,2,1,1,25030499,3/29/2025 2:00,3/29/2025 2:23,
104,2,1,1,25030499,3/29/2025 2:00,3/29/2025 2:23,
105,2,1,1,25030499,3/29/2025 11:00,3/29/2025 11:23,
106,2,1,1,25030489,3/29/2025 15:00,3/29/2025 15:23,
107,2,1,1,25030489,3/29/2025 15:00,3/29/2025 15:23,
108,2,1,1,25030489,3/29/2025 22:00,3/29/2025 22:23,
109,2,1,1,25030726,3/30/2025 4:00,3/30/2025 4:23,
110,2,1,1,25030726,3/31/2025 6:00,3/31/2025 6:23,
111,2,1,1,25030787,4/1/2025 22:00,4/1/2025 22:23,
112,2,1,1,25030490,4/1/2025 4:15,4/1/2025 4:38,
113,2,1,1,25030827,4/1/2025 22:00,4/1/2025 22:23,
114,2,1,1,25030778,4/2/2025 2:00,4/2/2025 2:23,
115,2,1,1,25030492,4/3/2025 2:00,4/3/2025 2:23,
116,2,1,1,25030493,4/3/2025 11:00,4/3/2025 11:23,
117,2,1,1,25030786,4/3/2025 15:00,4/3/2025 15:23,
118,2,1,1,25030965,4/4/2025 2:00,4/4/2025 2:23,
119,3,1,1,25040025,4/4/2025 11:00,4/4/2025 11:23,
120,3,1,1,25031008,4/4/2025 15:00,4/4/2025 15:23,
121,2,1,1,25030780,4/5/2025 2:00,4/5/2025 2:23,
122,2,1,1,25030959,4/5/2025 2:00,4/5/2025 2:23,
123,3,1,1,25031015,4/5/2025 11:00,4/5/2025 11:23,
124,2,1,1,25030913,4/5/2025 11:00,4/5/2025 11:23,
125,2,1,1,25030913,4/5/2025 15:00,4/5/2025 15:23,
126,2,1,1,25030913,4/5/2025 22:00,4/5/2025 22:23,
127,2,1,1,25030910,4/6/2025 2:00,4/6/2025 2:23,
128,2,1,1,25030915,4/6/2025 11:00,4/6/2025 11:23,
129,2,1,1,25030966,4/6/2025 15:00,4/6/2025 15:23,
130,2,1,1,25030909,4/8/2025 11:00,4/8/2025 11:23,
131,2,1,1,25030909,4/8/2025 15:00,4/8/2025 15:23,
132,2,1,1,25031007,4/8/2025 22:00,4/8/2025 22:23,
133,2,1,1,25031007,4/9/2025 2:00,4/9/2025 2:23,
134,2,1,1,25030876,4/9/2025 11:00,4/9/2025 11:23,
135,2,1,1,25030999,4/10/2025 22:00,4/10/2025 22:23,
136,2,1,1,25030956,4/10/2025 3:00,4/10/2025 3:23,
137,2,1,1,25030956,4/10/2025 11:00,4/10/2025 11:23,
138,2,1,1,25040078,4/10/2025 15:00,4/10/2025 15:23,
139,3,1,1,25040128,4/10/2025 18:00,4/10/2025 18:23,
140,2,1,1,25040116,4/10/2025 22:00,4/10/2025 22:23,
141,2,1,1,25030967,4/11/2025 2:00,4/11/2025 2:23,
142,2,1,1,25030957,4/12/2025 22:00,4/12/2025 22:23,
143,2,1,1,25031000,4/12/2025 3:00,4/12/2025 3:23,
144,2,1,1,25040117,4/12/2025 15:00,4/12/2025 15:23,
145,2,1,1,25040081,4/12/2025 22:00,4/12/2025 22:23,
146,2,1,1,25040081,4/13/2025 1:05,4/13/2025 1:28,
147,2,1,1,25040248,4/13/2025 2:00,4/13/2025 2:23,
148,2,1,1,25040258,4/13/2025 11:00,4/13/2025 11:23,
149,2,1,1,25040258,4/13/2025 15:00,4/13/2025 15:23,
150,2,1,1,25040127,4/14/2025 6:00,4/14/2025 6:23,
151,2,1,1,25040107,4/14/2025 11:00,4/14/2025 11:23,
152,2,1,1,25040107,4/14/2025 15:00,4/14/2025 15:23,
153,2,1,1,25040096,4/14/2025 22:00,4/14/2025 22:23,
154,2,1,1,25040108,4/15/2025 2:00,4/15/2025 2:23,
155,2,1,1,25040108,4/15/2025 14:00,4/15/2025 14:23,
156,2,1,1,25040109,4/16/2025 22:00,4/16/2025 22:23,
157,2,1,1,25040110,4/16/2025 2:00,4/16/2025 2:23,
158,2,1,1,25040110,4/16/2025 11:00,4/16/2025 11:23,
159,2,1,1,25040111,4/16/2025 15:00,4/16/2025 15:23,
160,2,1,1,25040111,4/16/2025 13:35,4/16/2025 13:58,
161,2,1,1,25040097,4/16/2025 16:55,4/16/2025 17:18,
162,2,1,1,25040111,4/16/2025 22:00,4/16/2025 22:23,
163,2,1,1,25040118,4/17/2025 2:00,4/17/2025 2:23,
164,2,1,1,25040118,4/17/2025 11:00,4/17/2025 11:23,
165,2,1,1,25040097,4/18/2025 2:00,4/18/2025 2:23,
166,2,1,1,25040294,4/18/2025 15:00,4/18/2025 15:23,
167,2,1,1,25040294,4/18/2025 22:00,4/18/2025 22:23,
168,5,1,1,25040120,4/18/2025 22:00,4/18/2025 22:23,
169,5,1,1,25040120,4/19/2025 2:00,4/19/2025 2:23,
170,2,1,1,25040346,4/19/2025 2:00,4/19/2025 2:23,
171,2,1,1,25040295,4/19/2025 11:00,4/19/2025 11:23,
172,2,1,1,25040282,4/19/2025 15:00,4/19/2025 15:23,
173,2,1,1,25040282,4/20/2025 22:00,4/20/2025 22:23,
174,5,1,1,25040281,4/19/2025 22:00,4/19/2025 22:23,
175,5,1,1,25040281,4/20/2025 2:00,4/20/2025 2:23,
176,2,1,1,25040284,4/20/2025 2:00,4/20/2025 2:23,
177,2,1,1,25040284,4/20/2025 11:00,4/20/2025 11:23,
178,2,1,1,25040297,4/20/2025 15:00,4/20/2025 15:23,
179,5,1,1,25040297,4/21/2025 15:00,4/21/2025 15:23,
180,2,1,1,25040296,4/21/2025 15:00,4/21/2025 15:23,
181,6,1,1,25040296,4/22/2025 20:30,4/22/2025 20:53,
182,6,1,1,25040296,4/22/2025 14:00,4/22/2025 14:23,
183,2,1,1,25040296,4/23/2025 6:00,4/23/2025 6:23,
184,5,1,1,25040347,4/23/2025 11:00,4/23/2025 11:23,
185,3,1,1,25040582,4/23/2025 15:00,4/23/2025 15:23,
186,2,1,1,25040121,4/23/2025 15:00,4/23/2025 15:23,
187,5,1,1,25040347,4/23/2025 15:00,4/23/2025 15:23,
188,5,1,1,25040623,4/24/2025 11:00,4/24/2025 11:23,
189,2,1,1,25040349,4/24/2025 15:00,4/24/2025 15:23,
190,5,1,1,25040285,4/25/2025 11:00,4/25/2025 11:23,
191,5,1,1,25040285,4/26/2025 11:00,4/26/2025 11:23,
192,5,1,1,25040413,4/25/2025 15:00,4/25/2025 15:23,
193,2,1,1,25040413,4/25/2025 15:00,4/25/2025 15:23,
194,5,1,1,25040287,4/25/2025 15:00,4/25/2025 15:23,
195,5,1,1,25040287,4/26/2025 15:00,4/26/2025 15:23,
196,2,1,1,25040289,4/26/2025 11:00,4/26/2025 11:23,
197,3,1,1,25040289,4/26/2025 15:00,4/26/2025 15:23,
198,2,1,1,25040288,4/26/2025 15:00,4/26/2025 15:23,
199,2,1,1,25040686,4/27/2025 11:00,4/27/2025 11:23,
200,2,1,1,25040291,4/27/2025 15:00,4/27/2025 15:23,
201,5,1,1,25040292,4/28/2025 11:00,4/28/2025 11:23,
202,3,1,1,25040292,4/28/2025 15:00,4/28/2025 15:23,
203,3,1,1,25040570,4/28/2025 15:00,4/28/2025 15:23,
204,2,1,1,25040788,4/29/2025 11:00,4/29/2025 11:23,
205,5,1,1,25040788,4/29/2025 11:00,4/29/2025 11:23,
206,3,1,1,25040572,4/29/2025 11:00,4/29/2025 11:23,
207,5,1,1,25040570,4/29/2025 11:00,4/29/2025 11:23,
208,5,1,1,25040826,4/29/2025 15:00,4/29/2025 15:23,
209,2,1,1,25040549,4/29/2025 15:00,4/29/2025 15:23,
210,2,1,1,25040803,4/29/2025 15:00,4/29/2025 15:23,
211,2,1,1,25040571,4/29/2025 15:00,4/29/2025 15:23,
212,3,1,1,25040571,5/2/2025 6:00,5/2/2025 6:23,
213,3,1,1,25040571,5/2/2025 9:15,5/2/2025 9:38,
214,2,1,1,25040685,5/2/2025 11:00,5/2/2025 11:23,
215,2,1,1,25040838,5/2/2025 15:00,5/2/2025 15:23,
216,2,1,1,25040572,5/2/2025 15:00,5/2/2025 15:23,
217,2,1,1,25040619,5/3/2025 22:00,5/3/2025 22:23,
218,3,1,1,25040619,5/3/2025 2:00,5/3/2025 2:23,
219,6,1,1,25040660,5/3/2025 11:00,5/3/2025 11:23,
220,3,1,1,25040685,5/3/2025 11:00,5/3/2025 11:23,
221,2,1,1,25040843,5/3/2025 15:00,5/3/2025 15:23,
222,2,1,1,25040841,5/3/2025 15:00,5/3/2025 15:23,
223,3,1,1,25040573,5/3/2025 22:00,5/3/2025 22:23,
224,3,1,1,25040573,5/4/2025 2:00,5/4/2025 2:23,
225,2,1,1,25040641,5/4/2025 11:00,5/4/2025 11:23,
226,2,1,1,25040697,5/4/2025 15:00,5/4/2025 15:23,
227,2,1,1,25040574,5/4/2025 11:00,5/4/2025 11:23,
228,2,1,1,25040574,5/4/2025 15:00,5/4/2025 15:23,
229,3,1,1,25040575,5/5/2025 11:00,5/5/2025 11:23,
230,2,1,1,25040575,5/5/2025 15:00,5/5/2025 15:23,
231,3,1,1,25040685,5/5/2025 22:00,5/5/2025 22:23,
232,2,1,1,25040576,5/5/2025 22:00,5/5/2025 22:23,
233,2,1,1,25040408,5/6/2025 2:00,5/6/2025 2:23,
234,2,1,1,25040577,5/6/2025 15:00,5/6/2025 15:23,
235,3,1,1,25040574,5/6/2025 22:00,5/6/2025 22:23,
236,3,1,1,25040574,5/6/2025 2:00,5/6/2025 2:23,
